"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Abnett, Dan","","person","author","David, Rob, author ; writer [person] ; Abnett, Dan, author [person] ; Bennett, Deron, illustrator [person] ; Roberts, Mark, 1978-, illustrator [person] ; Mahn, Pop, illustrator [person]","017725558","Monograph","Language material ; Still image ; Text","Volume","GBB615896","9781401261283","He-Man, the eternity war. Volume 2","","","","United States of America","Burbank, California","DC Comics","2016","","1 volume (unpaged), illustrations, 26 cm","741.5973","YKL.2017.b.3375","COMICS & GRAPHIC NOVELS / Superheroes","Comic or graphic novel ; Novel","English",""
"Abnett, Dan","","person","author","Davis, S. B. (Simon B.), artist [person] ; Abnett, Dan, author [person]","018268069","Monograph","Language material ; Still image ; Text","Volume","GBB835289","","and death shall have no dumb minions","","Sinister Dexter","","England","Oxford","Rebellion","2016","","1 volume (unpaged), colour illustrations, 26 cm","741.59","YKL.2018.b.850","","","English",""
"Abnett, Dan","","person","author","DeConnick, Kelly Sue, author [person] ; Bendis, Brian Michael, author [person] ; Lanning, Andy, author [person] ; Abnett, Dan, author [person] ; Bradshaw, Nick, artist [person]","016980359","Monograph","Language material ; Still image ; Text","Volume","GBB503695","9781846536366","Guardians disassembled","","Guardians of the galaxy","","England","Tunbridge Wells","Panini","2014","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Ellis, Warren, author [person] ; Dixon, Chuck, 1954-, author [person] ; Abnett, Dan, author [person]","016912475","Monograph","Language material ; Text","Volume","GBB4B9080","9780785190592","Marvels companion","","","","United States of America","New York","Marvel","2014","","1 volume, 26 cm","741.569","","Comic books, strips, etc--History and criticism","","English",""
"Abnett, Dan","","person","author","Elson, Richard, 1962-, artist [person] ; Abnett, Dan, author [person]","018172106","Monograph","Language material ; Still image ; Text","Volume","GBB704974","9781781085288","Aux drift","","Kingdom","3 [Kingdom]","England","Oxford","Rebellion","2017","","1 volume (unpaged), chiefly illustrations, 26 cm","741.5941","YKL.2019.b.3289","","Science fiction","English","'Originally serialised in 2000 AD progs 1900-1909 & 1961-1972'--T.p. verso"
"Abnett, Dan","","person","author","Elson, Richard, 1962-, artist [person] ; Abnett, Dan, author [person]","019634718","Monograph","Language material ; Still image ; Text","Volume","GBB9J5845","9781781087534","Alpha and omega","","Kingdom","volume 4 [Kingdom]","England","Oxford","Solaris","2020","","133 pages, chiefly colour illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Eltaeb, Gabe, artist [person] ; Faucher, Wayne [person] ; Hennessy, Andrew, artist [person] ; Brosseau, Pat [person] ; Walker, Brad, artist [person] ; Eaton, Scot [person] ; Abnett, Dan, author [person] ; Briones, Philippe, 1970- [person] ; Henriques, Daniel, artist [person]","018214581","Monograph","Language material ; Still image ; Text","Volume","GBB717651","9781401272272","Black Manta rising","","Aquaman ; DC Universe Rebirth","volume 2 [Aquaman]","United States of America","Burbank, California","DC Comics","2017","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YKL.2018.b.2640","COMICS & GRAPHIC NOVELS / Superheroes ; Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","'AQUAMAN created by Paul Norris' ; 'Originally published in single magazine form in AQUAMAN 7-15'--Title page verso"
"Abnett, Dan","","person","author","Eltaeb, Gabe, artist [person] ; Hennessy, Andrew, artist [person] ; Brosseau, Pat [person] ; Walker, Brad, artist [person] ; Briones, Philippe, 1970-, artist [person] ; Abnett, Dan, author [person] ; Morales, Mark, artist [person] ; Jiménez, Oscar, artist [person] ; Eaton, Scot, artist [person] ; Faucher, Wayne, artist [person]","018104428","Monograph","Language material ; Still image ; Text","Volume","GBB6F8496","9781401267827","The drowning","","Aquaman ; DC Universe Rebirth","volume 1 [Aquaman]","United States of America","Burbank, California","DC Comics","2016","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YKL.2018.b.1216","COMICS & GRAPHIC NOVELS / Superheroes ; Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","'Originally published in single magazine form in AQUAMAN: REBIRTH 1, AQUAMAN 1-6'"
"Abnett, Dan","","person","author","Gascoigne, Marc, editor [person] ; Richardson, Karl, artist [person] ; Abnett, Dan, author [person] ; Games Workshop [organisation] ; Dunn, Christian, editor [person]","016109141","Monograph","Language material ; Still image ; Text","Volume","GBB342597","9781849701662","Lone Wolves","","","","England","London","Black Library","2012","","approximately 100 pages, black and white illustrations, 30 cm","741.5941","YK.2013.b.4486","","","English","Originally published: 2003"
"Abnett, Dan","","person","author","Gillen, Kieron, artist [person] ; Abnett, Dan, author [person] ; Lanning, Andy, author [person]","018862081","Monograph","Language material ; Still image ; Text","Volume","GBB884584","9781302911447","New Mutants by Abnett & Lanning : the complete collection. Vol. 1","","","","United States of America","New York","Marvel Worldwide","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5941","","New Mutants (Fictitious characters)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Gillen, Kieron, artist [person] ; Abnett, Dan, author [person] ; Lanning, Andy, author [person]","019345853","Monograph","Language material ; Still image ; Text","Volume","GBB961041","9781302911430","New Mutants by Abnett & Lanning : the complete collection. Vol. 2","","","","United States of America","New York","Marvel Worldwide","2019","","1 volume, chiefly colour illustrations, 26 cm","741.5941","","New Mutants (Fictitious characters)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Gillen, Kieron, author [person] ; Abnett, Dan, author [person] ; Lanning, Andy, author [person]","018366215","Monograph","Language material ; Still image ; Text","Volume","GBB791776","9781302908645","Journey into mystery","","Loki","","United States of America","New York","Marvel Worldwide","2017","","1 volume, chiefly illustrations, 28 cm","741.5941","","Fantasy comic books, strips, etc ; Loki, (Norse deity)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Goldfine, Lloyd, author [person] ; Roberts, Mark, 1978-, artist [person] ; Bennett, Deron, artist [person] ; Mhan, Pop, artist [person] ; Abnett, Dan, author [person] ; Šejić, Stjepan, artist [person] ; David, Rob, author ; writer [person] ; Derenick, Tom, artist [person]","017165081","Monograph","Language material ; Still image ; Text","Volume","GBB551689","9781401253394","He-Man and the Masters of the Universe. Volume 5. The blood of Grayskull","Blood of Greyskull","","","United States of America","New York","DC Comics","2015","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YK.2016.b.260","Good and evil--Comic books, strips, etc ; Swords--Comic books, strips, etc","Comic or graphic novel ; Novel","English","'Originally published in He-Man and the Masters of the Universe 13-19' -- title page verso"
"Abnett, Dan","","person","author","Harras, Bob, author [person] ; Abnett, Dan, author [person] ; Kavanagh, Terry, author [person]","017164443","Monograph","Language material ; Still image ; Text","Volume","GBB551051","9780785162032","The crossing","","Avengers","","United States of America","New York","Marvel","2015","","1 volume, chiefly illustrations, 29 cm","741.5","","Avengers (Fictitious characters)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Kindt, Matt, author [person] ; Sharma, Lalit (Lalit Kumar), artist [person] ; Ferrier, Ryan, author [person] ; Boulle, Pierre, 1912-1994 [person] ; Abnett, Dan, author [person] ; Cullum, Jared, artist [person] ; Magno, Carlos, 1976-, artist [person]","019282104","Monograph","Language material ; Still image ; Text","Volume","GBB942605","9781684153275","When worlds collide","","Planet of the apes","","United States of America","Los Angeles","BOOM! Studios","2019","","1 volume, chiefly illustrations, 26 cm","741.5973","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Laiso, Emilio, artist [person] ; Abnett, Dan, author [person]","017999830","Monograph","Language material ; Still image ; Text","Volume","GBB6C3384","9781302900342","Civil War II : gods of war","","","","United States of America","New York","Marvel Worldwide","2016","","1 volume, chiefly illustrations, 26 cm","741.5","","Hercules, (Roman mythological character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Lanham, Travis [person] ; Hernandez, Angel, artist ; illustrator [person] ; Calderon, David [person] ; Abnett, Dan, author [person] ; Dallocchio, Federico, illustrator [person]","018228962","Monograph","Language material ; Still image ; Text","Volume","GBB722800","9781401267971","Earth 2: Society. Volume 3. A whole new world","Whole new world","","","United States of America","Burbank, California","DC Comics","2017","","1 volume, colour illustrations, 26 cm","741.5941","YKL.2018.b.3459","Science fiction comic books, strips, etc","Science fiction","English","Collects Earth 2: Society #13-16 and Earth 2: Society annual #1"
"Abnett, Dan","","person","author","Lanham, Travis [person] ; Redondo, Bruno, 1981-, artist [person] ; Sánchez, Alejandro, 1985-, artist [person] ; Lokus, Rex [person] ; Albarran, Juan, artist [person] ; Abnett, Dan, author [person] ; Cifuentes, Vicente, artist [person]","018366318","Monograph","Language material ; Text","Volume","GBB791879","9781401271435","Life after death","","Earth 2: society","volume 4 [Earth 2: society]","United States of America","Burbank, California","DC Comics","2017","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YKL.2018.b.4037","COMICS & GRAPHIC NOVELS / Superheroes","Comic or graphic novel","English","'Originally published in single magazine form in EARTH 2: SOCIETY 17-22'--Title page verso ; 'Superman created by Jerry Siegel and Joe Shuster, by special arrangement with the Jerry Siegel family'"
"Abnett, Dan","","person","author","Lanham, Travis [person] ; Sánchez, Alejandro, 1985-, artist [person] ; Calderon, David [person] ; Abnett, Dan, author [person] ; Jiménez, Jorge, 1986-, artist [person]","017911462","Monograph","Language material ; Still image ; Text","Volume","GBB690523","9781401264710","Indivisible","","Earth 2: society","volume 2 [Earth 2: society]","United States of America","Burbank, California","DC Comics","2016","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YKL.2017.b.5071","COMICS & GRAPHIC NOVELS / Superheroes","Comic or graphic novel","English","'Originally published in single magazine form in.EARTH 2: SOCIETY 8-12' ; 'Superman created by Jerry Siegel & Joe Shuster, by special.arrangement.with the Jerry Siegel family'"
